case,cid_requested,cid_served,outcome,exception,detail
store_serves_other_artefact,QmPm1SWK5L3Z3dpEyE4VeLoefkv7p7zCmCRUj2zrMUQ4mU,QmWNRD9YgbxSS9kFE9GPoCXHY7meRB3wstsWxvHCWbt5gT,REJECTED,CIDMismatch,requested QmPm1SWK5L3Z3dpEyE4VeLoefkv7p7zCmCRUj2zrMUQ4mU but the received bytes hash to QmWNRD9YgbxSS9kFE9GPoCXHY7meRB3wstsWxvHCWbt5gT. The content served does not match the content requested; it is discarded rather than
cached_artefact_bit_flipped,QmPm1SWK5L3Z3dpEyE4VeLoefkv7p7zCmCRUj2zrMUQ4mU,QmNurT6BmmBTsHEXZFFJEE3xndFMNGeZcEwtbesX2NAdts,REJECTED,,one byte flipped at offset 25165824
resolver_on_corrupted_cache,QmPm1SWK5L3Z3dpEyE4VeLoefkv7p7zCmCRUj2zrMUQ4mU,,REJECTED,ContentHashMismatch,synth-weights-50331648: manifest records sha256 6771fcbce4828fa58e1b4979c8b700d14fdd72c764bfc1b9a519f87a7adecca1 but the weights behind QmPm1SWK5L3Z3dpEyE4VeLoefkv7p7zCmCRUj2zrMUQ4mU hash to 3d03ca57eb2ecd9f9ffb50fa13333
control_honest_artefact,QmWNRD9YgbxSS9kFE9GPoCXHY7meRB3wstsWxvHCWbt5gT,QmWNRD9YgbxSS9kFE9GPoCXHY7meRB3wstsWxvHCWbt5gT,ACCEPTED,,sha256 6173153ed95b7934... checked=True
