model_id,cid,bytes,add_ms,cold_fetch_ms,warm_fetch_ms,speedup,cold_hit,warm_hit,cid_verified,recomputed_cid,mb_per_s,evicted_on_insert,n_evicted
synth-weights-65536,QmWNRD9YgbxSS9kFE9GPoCXHY7meRB3wstsWxvHCWbt5gT,65536,258.75,6.61,0.383,17.3,False,True,True,QmWNRD9YgbxSS9kFE9GPoCXHY7meRB3wstsWxvHCWbt5gT,9.92,,0
synth-weights-1048576,QmSrHNhA55vUHSSXEe7suNrjb2nbu4y4FA1RL47AN2EdpE,1048576,247.16,18.65,1.514,12.3,False,True,True,QmSrHNhA55vUHSSXEe7suNrjb2nbu4y4FA1RL47AN2EdpE,56.22,,0
synth-weights-4194304,QmbbbeKoEFN9g3amA81An8hwUWEmNafKGsGpQ1eHts3yqL,4194304,254.01,40.25,0.43,93.5,False,True,True,QmbbbeKoEFN9g3amA81An8hwUWEmNafKGsGpQ1eHts3yqL,104.21,,0
synth-weights-16777216,QmQzcjHeeeyFjcSttKmVMzMTowQhC5CgHvdcKknxpzsJ1V,16777216,365.07,135.07,0.659,205.0,False,True,True,QmQzcjHeeeyFjcSttKmVMzMTowQhC5CgHvdcKknxpzsJ1V,124.21,,0
synth-weights-50331648,QmPm1SWK5L3Z3dpEyE4VeLoefkv7p7zCmCRUj2zrMUQ4mU,50331648,353.9,317.49,0.354,895.8,False,True,True,QmPm1SWK5L3Z3dpEyE4VeLoefkv7p7zCmCRUj2zrMUQ4mU,158.53,QmWNRD9YgbxSS9kFE9GPoCXHY7meRB3wstsWxvHCWbt5gT;QmSrHNhA55vUHSSXEe7suNrjb2nbu4y4FA1RL47AN2EdpE;QmbbbeKoEFN9g3amA81An8hwUWEmNafKGsGpQ1eHts3yqL;QmQzcjHeeeyFjcSttKmVMzMTowQhC5CgHvdcKknxpzsJ1V,4
