n_nodes,repeat,job_id,rank,bidder,price,effective,warm,ttft_ms
3,0,9a09c4e0-e23f-4dec-9072-1e7ef46a976e,0,16Uiu2HAmG7UwJR5darevAogbtsY5jjKSthzPRwjpwBWiphqUAA53,0.07,0.07,False,1300.0
3,0,9a09c4e0-e23f-4dec-9072-1e7ef46a976e,1,16Uiu2HAkwdnLLxqCL624oTQvYHbgoiXKe5vU3W3DTJnPT7BAvXu1,0.09,0.09,False,1400.0
3,1,5f0779e2-8357-44c6-b1c1-a336418816db,0,16Uiu2HAmG7UwJR5darevAogbtsY5jjKSthzPRwjpwBWiphqUAA53,0.07,0.07,False,1300.0
3,1,5f0779e2-8357-44c6-b1c1-a336418816db,1,16Uiu2HAkwdnLLxqCL624oTQvYHbgoiXKe5vU3W3DTJnPT7BAvXu1,0.09,0.09,False,1400.0
