strategy,N_fraud,N_honest,TP,FP,TN,FN,ERR_fraud,ERR_honest,error_rate,precision,precision_bal,recall,fpr,f1,f1_bal,accuracy,mean_score_honest,mean_score_fraud
hallucinate_entity,20,20,19,0,20,1,0,0,0.0,1.0,1.0,0.95,0.0,0.9744,0.9744,0.975,4.95,1.3
negate,20,20,6,0,20,14,0,0,0.0,1.0,1.0,0.3,0.0,0.4615,0.4615,0.65,4.95,4.05
random_topic,20,20,20,0,20,0,0,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.95,1.95
swap_incorrect,20,20,7,0,20,13,0,0,0.0,1.0,1.0,0.35,0.0,0.5185,0.5185,0.675,4.95,3.8
OVERALL,80,20,52,0,20,28,0,0,0.0,1.0,1.0,0.65,0.0,0.7879,0.7879,0.72,4.95,2.775
